JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
IMPORT,4,2019,SELANGOR,SEMENANJUNG,SME_SMALL,MY,CN,"OTHER COUNTRIES, NES",6934.0,"PERKILANGAN LOGAM, TSTL",Malaysia,China
IMPORT,3,2021,PULAU PINANG,SEMENANJUNG,LARGE,MY,HK,"OTHER COUNTRIES, NES",7057.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Hong Kong
IMPORT,7,2024,JOHOR,SEMENANJUNG,LARGE,MY,FR,EU,157.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,France
IMPORT,10,2023,SELANGOR,SEMENANJUNG,LARGE,MY,PL,EU,212514.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Malaysia,Poland
IMPORT,5,2020,SELANGOR,SEMENANJUNG,LARGE,MY,ID,AFTA,1620462.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Indonesia
IMPORT,8,2020,SELANGOR,SEMENANJUNG,LARGE,MY,AT,EU,70833.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Austria
IMPORT,4,2016,MELAKA,SEMENANJUNG,LARGE,MY,TW,"OTHER COUNTRIES, NES",71328.0,BAHAN MAKANAN UNTUK BINATANG (TIDAK TERMASUK BIJIAN BELUM DIKILANG),Malaysia,"Taiwan, Province of China"
IMPORT,5,2015,PULAU PINANG,SEMENANJUNG,LARGE,MY,US,NAFTA,17673.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,United States of America
IMPORT,5,2014,PULAU PINANG,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",23804.88,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,China
IMPORT,2,2018,PULAU PINANG,SEMENANJUNG,LARGE,MY,US,NAFTA,602402.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,United States of America
IMPORT,11,2024,PULAU PINANG,SEMENANJUNG,LARGE,MY,GB,EU,1720.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,United Kingdom of Great Britain and Northern Ireland
IMPORT,1,2016,SELANGOR,SEMENANJUNG,LARGE,MY,VN,AFTA,313409.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Malaysia,Viet Nam
IMPORT,2,2020,SABAH,SABAH,SME_MEDIUM,MY,CN,"OTHER COUNTRIES, NES",75801.07,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,China
IMPORT,4,2024,TERENGGANU,SEMENANJUNG,LARGE,MY,SG,AFTA,627883.0,KELENGKAPAN PEMANASAN & PENDINGINAN & ALAT GANTI,Malaysia,Singapore
IMPORT,7,2020,PULAU PINANG,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",133029.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,China
IMPORT,4,2018,SELANGOR,SEMENANJUNG,LARGE,MY,US,NAFTA,105087.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,United States of America
IMPORT,3,2017,SELANGOR,SEMENANJUNG,LARGE,MY,DE,EU,258356.0,"PERKILANGAN GALIAN, TSTL",Malaysia,Germany
IMPORT,3,2024,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",5267.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,China
IMPORT,7,2020,JOHOR,SEMENANJUNG,LARGE,MY,SG,AFTA,57772.0,ENJIN OMBOH PEMBAKARAN DALAMAN DAN ALAT GANTI,Malaysia,Singapore
IMPORT,12,2023,JOHOR,SEMENANJUNG,LARGE,MY,SG,AFTA,2273.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Singapore
IMPORT,1,2023,JOHOR,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",82757.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,Japan
IMPORT,12,2014,SARAWAK,SARAWAK,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",2515.94,PERKAKAS MESIN YANG DIGUNAKAN UNTUK MEMBUANG LOGAM ATAU BAHAN LAIN,Malaysia,China
IMPORT,8,2024,PULAU PINANG,SEMENANJUNG,LARGE,MY,HK,"OTHER COUNTRIES, NES",887.0,"INJAP DAN TIUB, FOTOSEL, DLL.",Malaysia,Hong Kong
IMPORT,10,2022,PULAU PINANG,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",85824.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,China
IMPORT,3,2022,JOHOR,SEMENANJUNG,LARGE,MY,US,NAFTA,24357.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,United States of America
